customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,TRUE,2006-02-14,49:45.7,1
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,TRUE,2006-02-14,49:45.7,1
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,TRUE,2006-02-14,49:45.7,1
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,TRUE,2006-02-14,49:45.7,1
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,TRUE,2006-02-14,49:45.7,1
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,TRUE,2006-02-14,49:45.7,1
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,TRUE,2006-02-14,49:45.7,1
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,TRUE,2006-02-14,49:45.7,1
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,TRUE,2006-02-14,49:45.7,1
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,TRUE,2006-02-14,49:45.7,1
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,TRUE,2006-02-14,49:45.7,1
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,TRUE,2006-02-14,49:45.7,1
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,TRUE,2006-02-14,49:45.7,1
14,2,Betty,White,betty.white@sakilacustomer.org,18,TRUE,2006-02-14,49:45.7,1
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,TRUE,2006-02-14,49:45.7,1
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,TRUE,2006-02-14,49:45.7,0
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,TRUE,2006-02-14,49:45.7,1
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,TRUE,2006-02-14,49:45.7,1
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,TRUE,2006-02-14,49:45.7,1
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,TRUE,2006-02-14,49:45.7,1
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,TRUE,2006-02-14,49:45.7,1
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,TRUE,2006-02-14,49:45.7,1
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,TRUE,2006-02-14,49:45.7,1
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,TRUE,2006-02-14,49:45.7,1
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,TRUE,2006-02-14,49:45.7,1
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,TRUE,2006-02-14,49:45.7,1
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,TRUE,2006-02-14,49:45.7,1
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,TRUE,2006-02-14,49:45.7,1
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,TRUE,2006-02-14,49:45.7,1
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,TRUE,2006-02-14,49:45.7,1
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,TRUE,2006-02-14,49:45.7,1
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,TRUE,2006-02-14,49:45.7,1
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,TRUE,2006-02-14,49:45.7,1
34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,TRUE,2006-02-14,49:45.7,1
35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,TRUE,2006-02-14,49:45.7,1
36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,TRUE,2006-02-14,49:45.7,1
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,TRUE,2006-02-14,49:45.7,1
38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,TRUE,2006-02-14,49:45.7,1
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,TRUE,2006-02-14,49:45.7,1
40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,TRUE,2006-02-14,49:45.7,1
41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,TRUE,2006-02-14,49:45.7,1
42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,TRUE,2006-02-14,49:45.7,1
43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47,TRUE,2006-02-14,49:45.7,1
44,1,Marie,Turner,marie.turner@sakilacustomer.org,48,TRUE,2006-02-14,49:45.7,1
45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49,TRUE,2006-02-14,49:45.7,1
46,2,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50,TRUE,2006-02-14,49:45.7,1
47,1,Frances,Parker,frances.parker@sakilacustomer.org,51,TRUE,2006-02-14,49:45.7,1
48,1,Ann,Evans,ann.evans@sakilacustomer.org,52,TRUE,2006-02-14,49:45.7,1
49,2,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53,TRUE,2006-02-14,49:45.7,1
50,1,Diane,Collins,diane.collins@sakilacustomer.org,54,TRUE,2006-02-14,49:45.7,1
51,1,Alice,Stewart,alice.stewart@sakilacustomer.org,55,TRUE,2006-02-14,49:45.7,1
52,1,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56,TRUE,2006-02-14,49:45.7,1
53,1,Heather,Morris,heather.morris@sakilacustomer.org,57,TRUE,2006-02-14,49:45.7,1
54,1,Teresa,Rogers,teresa.rogers@sakilacustomer.org,58,TRUE,2006-02-14,49:45.7,1
55,2,Doris,Reed,doris.reed@sakilacustomer.org,59,TRUE,2006-02-14,49:45.7,1
56,1,Gloria,Cook,gloria.cook@sakilacustomer.org,60,TRUE,2006-02-14,49:45.7,1
57,2,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,61,TRUE,2006-02-14,49:45.7,1
58,1,Jean,Bell,jean.bell@sakilacustomer.org,62,TRUE,2006-02-14,49:45.7,1
