address_id,address,address2,district,city_id,postal_code,phone,last_update
201,817 Bradford Loop,,Jiangsu,109,89459,2.64E+11,11:23 PM
202,955 Bamenda Way,,Ondo & Ekiti,218,1545,7.68E+11,12:23 AM
203,1149 A Corua (La Corua) Boulevard,,Haiphong,194,95824,4.71E+11,1:23 AM
204,387 Mwene-Ditu Drive,,Ahal,35,8073,7.64E+11,2:23 AM
205,68 Molodetno Manor,,Nordrhein-Westfalen,575,4662,1.47E+11,3:23 AM
206,642 Nador Drive,,Maharashtra,77,3924,3.69E+11,4:23 AM
207,1688 Nador Lane,,Sulawesi Utara,184,61613,6.52E+11,5:23 AM
208,1215 Pyongyang Parkway,,Usak,557,25238,6.46E+11,6:23 AM
209,1679 Antofagasta Street,,Alto Paran,122,86599,9.06E+11,7:23 AM
210,1304 s-Hertogenbosch Way,,Santa Catarina,83,10925,90336226227,8:23 AM
211,850 Salala Loop,,Kitaa,371,10800,4.03E+11,9:23 AM
212,624 Oshawa Boulevard,,West Bengali,51,89959,49677664184,10:23 AM
213,43 Dadu Avenue,,Rajasthan,74,4855,95666951770,11:23 AM
214,751 Lima Loop,,Aden,7,99405,7.56E+11,12:23 PM
215,1333 Haldia Street,,Jilin,174,82161,4.08E+11,1:23 PM
216,660 Jedda Boulevard,,Washington,65,25053,1.69E+11,2:23 PM
217,1001 Miyakonojo Lane,,Taizz,518,67924,5.84E+11,3:23 PM
218,226 Brest Manor,,California,508,2299,7.86E+11,4:23 PM
219,1229 Valencia Parkway,,Haskovo,498,99124,3.53E+11,5:23 PM
220,1201 Qomsheh Manor,,Gois,28,21464,8.73E+11,6:23 PM
221,866 Shivapuri Manor,,Uttar Pradesh,448,22474,7.79E+11,7:23 PM
222,1168 Najafabad Parkway,,Kabol,251,40301,8.87E+11,8:23 PM
223,1244 Allappuzha (Alleppey) Place,,Buenos Aires,567,20657,9.92E+11,9:23 PM
224,1842 Luzinia Boulevard,,Zanzibar West,593,94420,7.07E+11,10:23 PM
225,1926 Gingoog Street,,Sisilia,511,22824,4.70E+11,11:23 PM
226,810 Palghat (Palakkad) Boulevard,,Jaroslavl,235,73431,5.16E+11,12:23 AM
227,1820 Maring Parkway,,Punjab,324,88307,99760893676,1:23 AM
